Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,3.0392,0.5915,0.6440,0.8043
2,0.9363,0.7483,0.4122,0.8518
3,0.7196,0.7616,0.4364,0.8676
4,0.6021,0.7844,0.4319,0.8636
5,0.5502,0.8111,0.4550,0.8656
6,0.5290,0.8170,0.3349,0.8913
7,0.5328,0.8180,0.3497,0.8439
8,0.4805,0.8358,0.3075,0.8972
9,0.4329,0.8393,0.3123,0.9012
10,0.4352,0.8388,0.2855,0.9012
11,0.4133,0.8591,0.2833,0.8972
12,0.3811,0.8586,0.2989,0.9091
13,0.3643,0.8650,0.3286,0.8953
14,0.3303,0.8729,0.3170,0.8913
15,0.3357,0.8843,0.2806,0.9071
16,0.3254,0.8719,0.2548,0.9091
17,0.3153,0.8853,0.2678,0.9051
18,0.3741,0.8709,0.2194,0.9150
19,0.2929,0.8788,0.2352,0.9190
20,0.3181,0.8788,0.2378,0.9071
21,0.3051,0.8858,0.2549,0.9071
22,0.3000,0.8863,0.2549,0.9170
23,0.2884,0.8956,0.2611,0.9130
24,0.2671,0.9016,0.2532,0.9130
25,0.3024,0.8932,0.2183,0.9190
26,0.2836,0.8902,0.2151,0.9130
27,0.2936,0.9041,0.1952,0.9269
28,0.2611,0.9085,0.2019,0.9190
29,0.2904,0.8952,0.2126,0.9229
30,0.2333,0.9090,0.2034,0.9190
31,0.2546,0.9001,0.2036,0.9249
32,0.2487,0.9120,0.2329,0.9150
33,0.2290,0.9159,0.2143,0.9190
34,0.2520,0.9021,0.1957,0.9269
35,0.2407,0.9154,0.2088,0.9229
36,0.2249,0.9125,0.2421,0.9130
37,0.2410,0.9090,0.2154,0.9091
38,0.2215,0.9095,0.2214,0.9091
39,0.2064,0.9159,0.2189,0.9229
40,0.2548,0.9021,0.2225,0.9111
41,0.2389,0.9090,0.2172,0.9091
42,0.2056,0.9219,0.2119,0.9051
43,0.2234,0.9189,0.2229,0.9130
44,0.2174,0.9169,0.2168,0.9051
45,0.2037,0.9135,0.2397,0.9111
46,0.2342,0.9110,0.2195,0.9150
47,0.2327,0.9115,0.2043,0.9229
48,0.2197,0.9154,0.2213,0.9051
49,0.2188,0.9174,0.2183,0.9051
50,0.2264,0.9080,0.2193,0.9130
51,0.2212,0.9184,0.2174,0.8992
52,0.2131,0.9298,0.1992,0.9249
53,0.2125,0.9204,0.2033,0.9051
54,0.1916,0.9347,0.2016,0.9229
55,0.1975,0.9268,0.2062,0.9249
