Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
56,0.2019,0.9184,0.2142,0.9209
57,0.2033,0.9318,0.2105,0.9229
58,0.2166,0.9184,0.1913,0.9348
59,0.2249,0.9189,0.1993,0.9170
60,0.1884,0.9238,0.1983,0.9130
61,0.1925,0.9228,0.2066,0.9130
62,0.1650,0.9362,0.2250,0.9051
63,0.1857,0.9283,0.2223,0.9071
64,0.1935,0.9322,0.2093,0.9150
65,0.1778,0.9332,0.2231,0.9150
66,0.1814,0.9288,0.2147,0.9269
67,0.1957,0.9278,0.2117,0.9190
68,0.1840,0.9342,0.2205,0.9249
69,0.1909,0.9288,0.2231,0.9032
70,0.2086,0.9253,0.2225,0.9130
71,0.1938,0.9318,0.2210,0.9091
72,0.1813,0.9313,0.2415,0.8933
73,0.1775,0.9268,0.1976,0.9368
74,0.1734,0.9342,0.1898,0.9289
75,0.1924,0.9233,0.2002,0.9368
76,0.1642,0.9411,0.1861,0.9348
77,0.1593,0.9421,0.1796,0.9368
78,0.1667,0.9367,0.2130,0.9111
79,0.1403,0.9491,0.2003,0.9170
80,0.1857,0.9308,0.1923,0.9249
81,0.1635,0.9332,0.1767,0.9348
82,0.1829,0.9362,0.1906,0.9328
83,0.1748,0.9332,0.1848,0.9289
84,0.1598,0.9357,0.2403,0.8992
85,0.1782,0.9283,0.1853,0.9368
86,0.1706,0.9357,0.1994,0.9289
87,0.1745,0.9352,0.2138,0.9130
88,0.1681,0.9322,0.2196,0.9229
89,0.1702,0.9392,0.2241,0.9170
90,0.1376,0.9461,0.2517,0.9012
91,0.1524,0.9402,0.2357,0.9209
92,0.1698,0.9362,0.2165,0.9209
93,0.1690,0.9357,0.2150,0.9111
94,0.1611,0.9407,0.2223,0.9091
95,0.1430,0.9476,0.2174,0.9071
96,0.1438,0.9421,0.2152,0.9071
97,0.1799,0.9322,0.2155,0.9190
98,0.1410,0.9500,0.2173,0.9111
99,0.1669,0.9431,0.2051,0.9091
100,0.1727,0.9332,0.2104,0.9091
101,0.1458,0.9491,0.2357,0.9012
102,0.1653,0.9387,0.2222,0.9071
103,0.1607,0.9402,0.2285,0.9051
104,0.1432,0.9431,0.2390,0.8953
105,0.1452,0.9416,0.2139,0.9032
106,0.1563,0.9416,0.2179,0.9051
107,0.1550,0.9402,0.2311,0.9051
108,0.1609,0.9431,0.1935,0.9071
109,0.1597,0.9416,0.2046,0.9111
110,0.1556,0.9426,0.1845,0.9190
111,0.1200,0.9515,0.1967,0.9209
112,0.1345,0.9550,0.2202,0.9071
113,0.1278,0.9535,0.2388,0.9071
114,0.1460,0.9402,0.2505,0.9071
115,0.1580,0.9436,0.2494,0.9051
116,0.1362,0.9486,0.2413,0.9051
117,0.1298,0.9471,0.2214,0.9091
118,0.1529,0.9456,0.2445,0.9091
119,0.1505,0.9496,0.2513,0.9091
120,0.1471,0.9461,0.2347,0.9012
121,0.1416,0.9496,0.2220,0.9111
122,0.1467,0.9451,0.2191,0.9091
123,0.1363,0.9446,0.2182,0.9071
124,0.1308,0.9515,0.2458,0.8972
125,0.1407,0.9491,0.2260,0.9071
126,0.1383,0.9491,0.2501,0.9051
127,0.1401,0.9510,0.2369,0.8992
128,0.1533,0.9387,0.2627,0.9012
129,0.1415,0.9491,0.2573,0.9051
130,0.1283,0.9545,0.2291,0.9111
131,0.1540,0.9471,0.2442,0.9071
132,0.1742,0.9392,0.2527,0.8953
133,0.1443,0.9530,0.2553,0.8972
134,0.1293,0.9510,0.2362,0.9071
135,0.1470,0.9500,0.2668,0.9032
136,0.1250,0.9505,0.2319,0.9071
137,0.1559,0.9456,0.2450,0.9051
138,0.1398,0.9431,0.2143,0.8992
139,0.1404,0.9486,0.2016,0.9130
140,0.1241,0.9510,0.1905,0.9150
141,0.1196,0.9525,0.1814,0.9209
142,0.1105,0.9580,0.1875,0.9209
143,0.1450,0.9476,0.1817,0.9308
144,0.1317,0.9525,0.1778,0.9269
145,0.1232,0.9550,0.2106,0.9130
146,0.1328,0.9530,0.2102,0.9111
147,0.1405,0.9471,0.1841,0.9368
148,0.1381,0.9500,0.1984,0.9190
149,0.1328,0.9496,0.1996,0.9229
150,0.1532,0.9436,0.1920,0.9249
151,0.1266,0.9510,0.2015,0.9229
152,0.1281,0.9486,0.1899,0.9269
153,0.1422,0.9431,0.1851,0.9229
154,0.1155,0.9570,0.1952,0.9130
155,0.1242,0.9481,0.2089,0.9229
156,0.1225,0.9540,0.2182,0.9091
157,0.1297,0.9555,0.2260,0.9130
158,0.1112,0.9570,0.1974,0.9209
159,0.1126,0.9565,0.1999,0.9170
160,0.1282,0.9555,0.1922,0.9130
161,0.1108,0.9585,0.2051,0.9111
162,0.1287,0.9515,0.2114,0.9170
163,0.1063,0.9590,0.1816,0.9368
164,0.1334,0.9530,0.1759,0.9348
165,0.1039,0.9594,0.2224,0.9170
166,0.1236,0.9486,0.1972,0.9209
167,0.1448,0.9476,0.1666,0.9328
168,0.1184,0.9570,0.1873,0.9229
169,0.1046,0.9585,0.1826,0.9249
170,0.1157,0.9619,0.2046,0.9170
171,0.1455,0.9575,0.1659,0.9289
172,0.1161,0.9570,0.1937,0.9209
173,0.1123,0.9555,0.2102,0.9170
174,0.1295,0.9535,0.1961,0.9150
175,0.1296,0.9565,0.1967,0.9289
176,0.1497,0.9446,0.1922,0.9170
177,0.1203,0.9545,0.1941,0.9249
178,0.1338,0.9535,0.1867,0.9269
179,0.1336,0.9540,0.1926,0.9289
180,0.1101,0.9575,0.2079,0.9190
181,0.1072,0.9654,0.2050,0.9150
182,0.1201,0.9540,0.1902,0.9209
183,0.1004,0.9614,0.1937,0.9249
184,0.1189,0.9540,0.2006,0.9348
185,0.1274,0.9505,0.2006,0.9229
186,0.1193,0.9585,0.1806,0.9348
187,0.1238,0.9550,0.1852,0.9407
188,0.1192,0.9496,0.2115,0.9150
189,0.1162,0.9604,0.2264,0.9130
190,0.1088,0.9609,0.2090,0.9209
191,0.1045,0.9585,0.2347,0.9150
192,0.1069,0.9594,0.2215,0.9150
193,0.1041,0.9594,0.2353,0.9091
194,0.0912,0.9679,0.2312,0.9170
195,0.1148,0.9590,0.2346,0.9130
196,0.1154,0.9590,0.2296,0.9190
197,0.1095,0.9580,0.2367,0.9170
198,0.0998,0.9614,0.2304,0.9170
199,0.1128,0.9590,0.2845,0.9071
200,0.1191,0.9575,0.2510,0.9032
