Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
144,0.1159,0.9575,0.2226,0.9190
145,0.1243,0.9496,0.2255,0.9150
146,0.1391,0.9540,0.2181,0.9150
147,0.1298,0.9486,0.2415,0.9111
148,0.1213,0.9510,0.2657,0.9051
149,0.1259,0.9535,0.2152,0.9170
150,0.1220,0.9515,0.2377,0.9111
151,0.1192,0.9594,0.2575,0.9032
152,0.1300,0.9530,0.2430,0.9051
153,0.1085,0.9565,0.2211,0.9150
154,0.1182,0.9560,0.2371,0.9091
155,0.1114,0.9594,0.2153,0.9150
156,0.1258,0.9530,0.2092,0.9190
157,0.1391,0.9491,0.2450,0.9051
158,0.1225,0.9530,0.2148,0.9111
159,0.1189,0.9545,0.2363,0.9071
160,0.1310,0.9555,0.2185,0.9209
161,0.1301,0.9466,0.2619,0.9091
162,0.1278,0.9555,0.2211,0.9091
163,0.1177,0.9565,0.2516,0.9071
164,0.1124,0.9550,0.2811,0.8972
165,0.1173,0.9594,0.2554,0.9032
166,0.1150,0.9525,0.2576,0.9032
167,0.1140,0.9580,0.2531,0.9012
168,0.1220,0.9594,0.2926,0.8953
169,0.1124,0.9515,0.2859,0.8953
170,0.1023,0.9624,0.2914,0.8933
171,0.1162,0.9585,0.2717,0.9071
172,0.1171,0.9555,0.2600,0.9071
173,0.1183,0.9599,0.4034,0.8834
174,0.1341,0.9535,0.3078,0.8972
175,0.1323,0.9550,0.2802,0.9032
176,0.1286,0.9535,0.2947,0.9032
177,0.1289,0.9540,0.2535,0.9032
178,0.1221,0.9545,0.2557,0.9071
179,0.1098,0.9585,0.2961,0.8992
180,0.1042,0.9634,0.2787,0.9012
181,0.1285,0.9525,0.2533,0.9071
182,0.1145,0.9585,0.2666,0.9032
183,0.1047,0.9575,0.2491,0.9091
184,0.1018,0.9624,0.2724,0.9091
185,0.1176,0.9580,0.2629,0.9032
186,0.1174,0.9634,0.2657,0.9111
187,0.1245,0.9550,0.2539,0.9111
188,0.0965,0.9614,0.3145,0.8972
189,0.1084,0.9604,0.2480,0.9111
190,0.1038,0.9639,0.2779,0.9051
191,0.1198,0.9535,0.2718,0.9051
192,0.1164,0.9609,0.2300,0.9130
193,0.1141,0.9575,0.2374,0.9091
194,0.1099,0.9570,0.2603,0.9051
195,0.1008,0.9639,0.2749,0.9032
196,0.1242,0.9599,0.2597,0.9091
197,0.1158,0.9629,0.2788,0.9012
198,0.1175,0.9500,0.2428,0.9130
199,0.0916,0.9634,0.2567,0.9111
200,0.1081,0.9575,0.2816,0.9032
201,0.0996,0.9614,0.2810,0.9032
202,0.1139,0.9491,0.2458,0.9032
203,0.1222,0.9560,0.3059,0.9071
204,0.1090,0.9614,0.2516,0.9071
205,0.0957,0.9624,0.2718,0.9051
206,0.1016,0.9629,0.2771,0.9051
207,0.1149,0.9590,0.2891,0.8992
208,0.0987,0.9669,0.2754,0.9071
209,0.1135,0.9594,0.2510,0.9091
210,0.1145,0.9594,0.2572,0.9051
211,0.1047,0.9614,0.3044,0.9071
212,0.1181,0.9535,0.2576,0.9111
213,0.1044,0.9580,0.2585,0.9111
214,0.0863,0.9698,0.2517,0.9111
215,0.1121,0.9614,0.2179,0.9150
216,0.0929,0.9669,0.2401,0.9170
217,0.1056,0.9590,0.2412,0.9229
218,0.1013,0.9609,0.2343,0.9289
219,0.0969,0.9634,0.2774,0.9111
220,0.1184,0.9594,0.2586,0.9111
221,0.1212,0.9555,0.2717,0.9130
222,0.1051,0.9614,0.2535,0.9111
223,0.1025,0.9580,0.2685,0.9071
224,0.1063,0.9599,0.2920,0.9051
225,0.1141,0.9629,0.2664,0.9071
226,0.1152,0.9619,0.2490,0.9130
227,0.0962,0.9659,0.2726,0.9091
228,0.0950,0.9624,0.2729,0.9071
229,0.1100,0.9590,0.2757,0.9091
230,0.0995,0.9639,0.2723,0.9111
231,0.1076,0.9649,0.2910,0.9071
232,0.1075,0.9570,0.2681,0.9071
233,0.0976,0.9654,0.2562,0.9111
234,0.1102,0.9624,0.2822,0.9111
235,0.1082,0.9599,0.2623,0.9170
236,0.1090,0.9609,0.2747,0.9111
237,0.1289,0.9515,0.2994,0.9032
238,0.0946,0.9649,0.2691,0.9170
239,0.1271,0.9599,0.3035,0.8992
240,0.0972,0.9688,0.2534,0.9091
241,0.1021,0.9644,0.2480,0.9091
242,0.1242,0.9585,0.2623,0.9071
243,0.1112,0.9619,0.2801,0.9012
244,0.1034,0.9639,0.2844,0.9051
245,0.1093,0.9594,0.2844,0.9051
246,0.1072,0.9614,0.3076,0.8933
247,0.0833,0.9659,0.3064,0.9032
248,0.0962,0.9683,0.2899,0.9012
249,0.1008,0.9590,0.2720,0.8992
250,0.1082,0.9594,0.2786,0.9012
251,0.0989,0.9669,0.2506,0.9051
252,0.0908,0.9629,0.2639,0.9111
253,0.0952,0.9639,0.2657,0.9071
254,0.0988,0.9674,0.2792,0.9111
255,0.0906,0.9718,0.2932,0.9051
256,0.1010,0.9654,0.3099,0.9051
257,0.0849,0.9708,0.2806,0.9130
258,0.0998,0.9659,0.2491,0.9170
259,0.1000,0.9654,0.2535,0.9150
260,0.0797,0.9688,0.2843,0.9150
261,0.1016,0.9619,0.2751,0.9111
262,0.0837,0.9674,0.2537,0.9190
263,0.1026,0.9649,0.2400,0.9229
264,0.1042,0.9585,0.2695,0.9150
265,0.1230,0.9565,0.2481,0.9150
266,0.0924,0.9679,0.2711,0.9091
267,0.0791,0.9718,0.2628,0.9111
268,0.1013,0.9594,0.2577,0.9071
269,0.1158,0.9629,0.2270,0.9111
270,0.0963,0.9629,0.2248,0.9091
271,0.0789,0.9634,0.2491,0.9130
272,0.1040,0.9619,0.2896,0.9032
273,0.0988,0.9659,0.2218,0.9170
274,0.0748,0.9723,0.2233,0.9170
275,0.0950,0.9639,0.2500,0.9130
276,0.1030,0.9609,0.1916,0.9308
277,0.0915,0.9639,0.2313,0.9190
278,0.1039,0.9629,0.2495,0.9150
279,0.0840,0.9703,0.2857,0.9091
280,0.1113,0.9599,0.2762,0.9091
281,0.0964,0.9649,0.2870,0.9032
282,0.0866,0.9679,0.2155,0.9249
283,0.0737,0.9753,0.2320,0.9209
284,0.0933,0.9688,0.2275,0.9190
285,0.0955,0.9679,0.2490,0.9190
286,0.0837,0.9669,0.2374,0.9130
287,0.1157,0.9639,0.2104,0.9269
288,0.0734,0.9718,0.2232,0.9229
289,0.0911,0.9693,0.2451,0.9111
290,0.1034,0.9644,0.1999,0.9269
291,0.0774,0.9698,0.2008,0.9308
292,0.1058,0.9629,0.2253,0.9150
293,0.0930,0.9649,0.1870,0.9308
294,0.1090,0.9634,0.2227,0.9170
295,0.0930,0.9674,0.2094,0.9190
296,0.0999,0.9614,0.2487,0.9111
297,0.1003,0.9649,0.2495,0.9032
298,0.1100,0.9629,0.2442,0.9091
299,0.1035,0.9609,0.2117,0.9190
300,0.0828,0.9669,0.2191,0.9170
301,0.0807,0.9693,0.2548,0.9150
302,0.1064,0.9590,0.2079,0.9209
303,0.0743,0.9733,0.2230,0.9170
304,0.0893,0.9693,0.2358,0.9150
305,0.0777,0.9733,0.2319,0.9209
306,0.0988,0.9659,0.2616,0.9190
307,0.1009,0.9679,0.2238,0.9328
308,0.0873,0.9659,0.2525,0.9229
309,0.0866,0.9649,0.2454,0.9190
310,0.0918,0.9629,0.2634,0.9130
311,0.0886,0.9669,0.2461,0.9209
312,0.0972,0.9609,0.2403,0.9150
313,0.0858,0.9669,0.2700,0.9071
314,0.0733,0.9738,0.2527,0.9111
315,0.0937,0.9664,0.2661,0.9032
316,0.0902,0.9688,0.2386,0.9150
317,0.0588,0.9763,0.2537,0.9150
318,0.0795,0.9728,0.3088,0.9051
319,0.0900,0.9659,0.2617,0.9111
320,0.0815,0.9683,0.2669,0.9130
321,0.0966,0.9669,0.2293,0.9150
322,0.0883,0.9693,0.2308,0.9150
323,0.0948,0.9634,0.2373,0.9150
324,0.0908,0.9634,0.2023,0.9308
325,0.0876,0.9674,0.2276,0.9170
326,0.0786,0.9723,0.2370,0.9091
327,0.0857,0.9698,0.2365,0.9170
328,0.0699,0.9738,0.2600,0.9111
329,0.0696,0.9733,0.2847,0.9091
330,0.1054,0.9639,0.2507,0.9130
331,0.0943,0.9639,0.2886,0.9091
332,0.0945,0.9698,0.2748,0.9130
333,0.0959,0.9654,0.2152,0.9190
334,0.0894,0.9679,0.2507,0.9071
335,0.0949,0.9654,0.2475,0.9111
336,0.0697,0.9743,0.2562,0.9111
337,0.0923,0.9674,0.2486,0.9130
338,0.0850,0.9693,0.2472,0.9051
339,0.0927,0.9624,0.2524,0.9091
340,0.0882,0.9679,0.2663,0.9012
341,0.0946,0.9679,0.2393,0.9091
342,0.0917,0.9659,0.2296,0.9111
343,0.0968,0.9649,0.2318,0.9091
344,0.0746,0.9738,0.2151,0.9150
345,0.0826,0.9703,0.2333,0.9111
346,0.1263,0.9609,0.1834,0.9249
347,0.0893,0.9624,0.2189,0.9170
348,0.0804,0.9728,0.2078,0.9190
349,0.0948,0.9659,0.2183,0.9209
350,0.0842,0.9713,0.2295,0.9170
351,0.0720,0.9743,0.2311,0.9229
352,0.0959,0.9659,0.2311,0.9269
353,0.0928,0.9708,0.2412,0.9209
354,0.0817,0.9713,0.1967,0.9328
355,0.0871,0.9683,0.1997,0.9348
